FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,running_video
20,0.5121003985404968,0.2927327156066894,-0.277079313993454,0.5467028021812439,0.3398998081684112,-0.1440253108739853,0.5726512670516968,0.2708427309989929,-0.2065990567207336,0.4885099530220032,0.3426937460899353,-0.1389094442129135,0.4658605754375458,0.271810382604599,-0.2163889408111572,0.5799968838691711,0.1785808652639389,-0.2821501493453979,0.464502215385437,0.1754520833492279,-0.3065218329429626,0.5386325120925903,0.5363389253616333,-0.0003095969150308,0.4984277784824371,0.5377260446548462,0.0002322997461305,0.5443360209465027,0.6689080595970154,0.0281197670847177,0.4949584901332855,0.6715986728668213,0.0228209905326366,0.5469226837158203,0.7997117638587952,0.1582651436328888,0.4972284734249115,0.8004880547523499,0.1513991504907608,1
21,0.5122326016426086,0.2927674353122711,-0.2809752821922302,0.546787679195404,0.3399035632610321,-0.1468188464641571,0.5726603865623474,0.2712035477161407,-0.2086235433816909,0.4885658025741577,0.3430528342723846,-0.1399087756872177,0.4652445018291473,0.2727880775928497,-0.2178862243890762,0.5803800821304321,0.1787337660789489,-0.2814343869686126,0.4641005396842956,0.1755138486623764,-0.3066039979457855,0.5386379361152649,0.5372233986854553,-0.0003901719173882,0.4984379112720489,0.538582444190979,0.0003119004541076,0.5442708134651184,0.6694688200950623,0.0331993028521537,0.4949628412723541,0.671913743019104,0.0230959393084049,0.5470578670501709,0.7996650338172913,0.1741128712892532,0.4972171187400818,0.8004050254821777,0.1616866886615753,1
22,0.5125321745872498,0.2927947342395782,-0.2968725860118866,0.5467959642410278,0.3398763537406921,-0.1580686867237091,0.5726786255836487,0.271822988986969,-0.2244838029146194,0.4885124266147613,0.3430606722831726,-0.1522506326436996,0.4650220870971679,0.2738165557384491,-0.2332724928855896,0.5810641646385193,0.1788374036550521,-0.3054381012916565,0.4639610350131988,0.1756158322095871,-0.3305751085281372,0.5387003421783447,0.5369121432304382,-0.0004913073498755,0.4984464347362518,0.5384997129440308,0.0004145863058511,0.5442945957183838,0.6687039136886597,0.0294636860489845,0.4949617385864258,0.6719175577163696,0.021135576069355,0.5468038320541382,0.7997048497200012,0.1677076518535614,0.4970931112766266,0.8006357550621033,0.1580570191144943,1
23,0.5127306580543518,0.2927870154380798,-0.2665702998638153,0.5469462275505066,0.3396825790405273,-0.1312022507190704,0.5727609992027283,0.2717755138874054,-0.1933548003435135,0.4887426197528839,0.3428254723548889,-0.1290197670459747,0.4648608565330505,0.273984283208847,-0.2089508920907974,0.5815289616584778,0.1789408028125763,-0.2713201344013214,0.4635685980319977,0.176028624176979,-0.3036361038684845,0.5386022925376892,0.5367735624313354,-0.0005205944180488,0.4985008835792541,0.5383511185646057,0.0004476041358429,0.5443184971809387,0.6691868901252747,0.0231225844472646,0.4950251281261444,0.6722062230110168,0.0205312203615903,0.5468806028366089,0.8005115985870361,0.15176922082901,0.4975911974906921,0.8010280132293701,0.1487503945827484,1
24,0.5134557485580444,0.2926702499389648,-0.2811848521232605,0.5473169684410095,0.3395933210849762,-0.1360344737768173,0.5732361078262329,0.2712341547012329,-0.1965559422969818,0.4888216555118561,0.3427280187606811,-0.1433145999908447,0.4654708802700043,0.2738480567932129,-0.223355159163475,0.5827316045761108,0.1778783351182937,-0.2731388509273529,0.4634898006916046,0.1761379390954971,-0.3232160210609436,0.538760244846344,0.536752462387085,0.00026797974715,0.4985715746879577,0.538226306438446,-0.0003448311472311,0.5445516109466553,0.6682919263839722,0.0272902138531208,0.495016485452652,0.671131432056427,0.0192563217133283,0.547393262386322,0.8006685972213745,0.1589678972959518,0.497512549161911,0.8008320927619934,0.1503187268972396,1
25,0.5140694379806519,0.29265958070755,-0.2808758318424225,0.5478349328041077,0.3395570814609527,-0.1369147449731826,0.5732912421226501,0.271259605884552,-0.1976364254951477,0.4889207184314728,0.3427267372608185,-0.1430896073579788,0.4654104113578796,0.2743043601512909,-0.2239122688770294,0.5837361812591553,0.1777262687683105,-0.2688540518283844,0.4631830751895904,0.1760752946138382,-0.320014625787735,0.5387864708900452,0.5377053022384644,0.0002872085315175,0.4985815584659576,0.5389794111251831,-0.0003641569637693,0.5445453524589539,0.6689426898956299,0.0312010049819946,0.4950159788131714,0.671324610710144,0.0216280166059732,0.5477426648139954,0.8007414937019348,0.1704499423503875,0.4975440204143524,0.8005046248435974,0.1612205803394317,1
26,0.5144263505935669,0.2926564216613769,-0.2833389639854431,0.5480126738548279,0.3393742740154266,-0.1362797617912292,0.5743266940116882,0.2712369859218597,-0.1903164535760879,0.4888712167739868,0.3426757454872131,-0.1447212249040603,0.4653871655464172,0.2746376693248749,-0.2232970595359802,0.584292471408844,0.1779114603996276,-0.265282928943634,0.4631744921207428,0.1763059645891189,-0.3164790272712707,0.5390123724937439,0.5380390286445618,0.0017458273796364,0.4986925423145294,0.5391404032707214,-0.0018142402404919,0.5446051359176636,0.6676314473152161,0.0338588766753673,0.4949927628040313,0.6712945103645325,0.0202619899064302,0.5477471947669983,0.8008241653442383,0.1730644702911377,0.4971493780612945,0.7998279333114624,0.1601458042860031,1
27,0.5146232843399048,0.2921363711357116,-0.2602138817310333,0.5492286086082458,0.3387413024902344,-0.1241132691502571,0.5750145316123962,0.2710055112838745,-0.1783704906702041,0.4895124137401581,0.3421214520931244,-0.1196043118834495,0.4650890231132507,0.274556040763855,-0.1934273838996887,0.5848327279090881,0.1774957925081253,-0.2431961148977279,0.463262140750885,0.1763032227754593,-0.275911420583725,0.5394084453582764,0.5384775400161743,0.0007637484231963,0.4989001452922821,0.5391925573348999,-0.0008108923211693,0.5446645021438599,0.6687039136886597,0.0279221329838037,0.4951072335243225,0.6716828346252441,0.0200996454805135,0.5474843978881836,0.801051676273346,0.1706335693597793,0.497166246175766,0.7997059226036072,0.1595971137285232,1
28,0.5153905749320984,0.2917380630970001,-0.2692247629165649,0.5492335557937622,0.3387099802494049,-0.1266767531633377,0.5755704641342163,0.2710031569004059,-0.1828305572271347,0.4893765151500702,0.3419911563396454,-0.1305761635303497,0.4650821685791015,0.2744031250476837,-0.2167089879512787,0.5856619477272034,0.1777994930744171,-0.2574893832206726,0.4633024632930755,0.1764722764492035,-0.312730997800827,0.539922833442688,0.5381441712379456,0.0015466903569176,0.4989369213581085,0.5390318632125854,-0.0015928786015138,0.5446641445159912,0.6683027148246765,0.0253341253846883,0.4951364398002624,0.6717007160186768,0.014573379419744,0.5475582480430603,0.8011346459388733,0.1702506244182586,0.4972091317176819,0.7995821237564087,0.1566561758518219,1
29,0.5164069533348083,0.2918652892112732,-0.2837430536746979,0.550663411617279,0.3382235467433929,-0.1421217918395996,0.5762760639190674,0.2698050737380981,-0.2014290392398834,0.4895589649677276,0.3417648375034332,-0.1387725919485092,0.4646702408790588,0.2744246423244476,-0.2299447357654571,0.5865234732627869,0.1766718178987503,-0.2718116343021393,0.4632603228092193,0.1764456778764724,-0.3346894383430481,0.5400699973106384,0.5378914475440979,4.352134055807255e-05,0.4989493489265442,0.5388096570968628,-9.172247519018129e-05,0.544853150844574,0.66851806640625,0.0119111035019159,0.4951390027999878,0.6717293858528137,0.0149644566699862,0.5476214289665222,0.8016234636306763,0.157905027270317,0.4972567558288574,0.8000081181526184,0.1566261649131775,1
30,0.5165036916732788,0.2912658452987671,-0.2860743105411529,0.5507177710533142,0.3382213711738586,-0.1415207535028457,0.577752947807312,0.2698573470115661,-0.181199625134468,0.4895138442516327,0.3416810035705566,-0.1403127163648605,0.4640915095806122,0.2736122608184814,-0.2146544158458709,0.5867753624916077,0.1774914711713791,-0.2423709779977798,0.4635360836982727,0.174850046634674,-0.2953044474124908,0.5401056408882141,0.5384049415588379,0.0006598573527298,0.4989592432975769,0.539347767829895,-0.0007128342986106,0.5456571578979492,0.6685176491737366,0.027333466336131,0.4945439398288727,0.6723159551620483,0.0146761294454336,0.5479875802993774,0.8020583987236023,0.1757461428642273,0.4971145689487457,0.8001405596733093,0.1596105545759201,1
31,0.517153799533844,0.2910164296627044,-0.2606780230998993,0.5514044165611267,0.338444322347641,-0.1179130896925926,0.5781831741333008,0.2694606482982635,-0.1724270433187484,0.4898065030574798,0.3416540324687958,-0.1247178167104721,0.4642083346843719,0.2745484113693237,-0.2034270763397216,0.5872241854667664,0.1783777624368667,-0.2423837035894394,0.4635345041751861,0.1752748638391494,-0.2862161099910736,0.5403161644935608,0.5396828651428223,0.0009019561694003,0.4990414381027221,0.5405027866363525,-0.0009459778084419,0.5458477139472961,0.6702538728713989,0.0269611421972513,0.4945265054702759,0.673396646976471,0.0114535130560398,0.5480276942253113,0.8031389713287354,0.1740842908620834,0.4971178472042084,0.8001508116722107,0.1582529842853546,1
32,0.5181447863578796,0.2919210791587829,-0.2639960646629333,0.5514787435531616,0.3393044471740722,-0.1162820532917976,0.5784856081008911,0.2706691324710846,-0.1670294106006622,0.4897505044937134,0.3418483436107635,-0.125458687543869,0.4642212688922882,0.2745481133460998,-0.2157493382692337,0.5876797437667847,0.1796052157878875,-0.239262580871582,0.4635447561740875,0.1757100522518158,-0.3064211308956146,0.5403212308883667,0.5403238534927368,0.0022753938101232,0.4990991652011871,0.540966808795929,-0.0023183217272162,0.5459176898002625,0.670639157295227,0.0149269700050354,0.4944391250610351,0.674724817276001,-0.0009844950400292,0.5480440855026245,0.803386926651001,0.1622208505868911,0.4971860945224762,0.8013581037521362,0.1450268477201461,1
33,0.5183440446853638,0.2923781275749206,-0.2638594210147857,0.5522892475128174,0.3396156728267669,-0.1171426773071289,0.5789299607276917,0.271278977394104,-0.165805235505104,0.4899199903011322,0.3418991565704345,-0.1266225427389145,0.464226096868515,0.2752860784530639,-0.2118790596723556,0.5885169506072998,0.1796478331089019,-0.2306676506996154,0.4634053111076355,0.1775470525026321,-0.3018336594104767,0.5403837561607361,0.5416140556335449,0.0024695482570677,0.4990974068641662,0.5418335795402527,-0.0025057510938495,0.5461680889129639,0.6713002920150757,0.0164383519440889,0.4944209158420563,0.67619389295578,-0.0024966523051261,0.5483067035675049,0.8039536476135254,0.1668577492237091,0.4971892237663269,0.8023375868797302,0.1459185481071472,1
34,0.5184181332588196,0.2932595908641815,-0.2700887322425842,0.5526975989341736,0.34059938788414,-0.124001495540142,0.5792317986488342,0.2737439274787903,-0.1857242584228515,0.489927738904953,0.3436430692672729,-0.1300189048051834,0.4641550779342651,0.276305228471756,-0.2138772904872894,0.589209258556366,0.1828019171953201,-0.2638428509235382,0.4634419083595276,0.1780930161476135,-0.3023230135440826,0.5407792925834656,0.5430296659469604,0.0024820233229547,0.4991748631000519,0.5439196825027466,-0.0025176405906677,0.5468912124633789,0.6712744235992432,0.0154853872954845,0.4941841959953308,0.676911473274231,-0.0007906348910182,0.5485923886299133,0.8039645552635193,0.1705895811319351,0.4969960749149322,0.8021242618560791,0.1498373597860336,1
35,0.5187434554100037,0.2991354167461395,-0.2835389375686645,0.5528742671012878,0.3423455655574798,-0.1321207880973816,0.5799358487129211,0.2753400802612304,-0.1842741519212722,0.4898938238620758,0.3447275757789612,-0.1377947926521301,0.4641370773315429,0.2784309089183807,-0.2281137853860855,0.5904061794281006,0.1830686777830124,-0.2543167769908905,0.4634795784950256,0.1805417388677597,-0.3299263715744018,0.5409354567527771,0.5437637567520142,0.0024551551323384,0.4992364645004272,0.544407844543457,-0.0024906401522457,0.5470672845840454,0.6715608835220337,0.0037494867574423,0.4941783547401428,0.6769229173660278,-0.0036708782427012,0.5483574271202087,0.8035252094268799,0.1611130684614181,0.4971252977848053,0.8020110726356506,0.1468692123889923,1
